Time,Trial Num,Target,Type,StartX,StartY,EndX,EndY,ProjectedX,ProjectedY,StartKey,ProjectedKey
15:22:55.308,0,want to join us for lunch,swipe,120.79,6.26,52.87,121.79,0.00,211.72,W,
15:22:56.199,0,want to join us for lunch,swipe,515.71,199.52,350.46,27.26,349.56,26.33,N,T
15:22:57.633,0,want to join us for lunch,tap,356.06,30.07,,,,,T,
15:22:57.901,0,want to join us for lunch,tap,657.16,20.26,,,,,O,
15:22:59.468,0,want to join us for lunch,swipe,531.12,109.19,695.67,20.26,733.16,0.00,J,P
15:23:00.210,0,want to join us for lunch,swipe,608.84,25.86,476.50,199.52,463.37,216.75,I,N
15:23:02.686,0,want to join us for lunch,swipe,536.02,13.26,127.79,112.69,302.83,70.06,U,R
15:23:05.146,0,want to join us for lunch,tap,529.02,35.67,,,,,U,
15:23:05.530,0,want to join us for lunch,tap,142.49,102.89,,,,,S,
15:23:07.522,0,want to join us for lunch,swipe,290.24,109.89,675.36,38.47,526.22,66.13,F,U
15:23:07.873,0,want to join us for lunch,tap,270.63,28.67,,,,,R,
15:23:09.657,0,want to join us for lunch,swipe,690.77,120.39,518.51,20.96,482.91,0.41,L,U
15:23:10.008,0,want to join us for lunch,tap,510.81,179.91,,,,,N,
15:23:10.924,0,want to join us for lunch,swipe,253.13,177.81,478.60,88.88,476.39,89.75,C,H
15:23:14.352,1,frequently asked questions,swipe,313.35,114.09,237.02,5.56,233.12,0.00,F,E
15:23:15.861,1,frequently asked questions,tap,197.11,25.86,,,,,E,
15:23:17.278,1,frequently asked questions,swipe,26.26,30.77,509.41,46.17,266.14,38.41,Q,R
15:23:18.963,1,frequently asked questions,tap,209.02,33.57,,,,,E,
15:23:19.471,1,frequently asked questions,tap,515.71,191.12,,,,,N,
15:23:19.763,1,frequently asked questions,tap,362.36,16.76,,,,,T,
15:23:20.980,1,frequently asked questions,tap,701.27,132.30,,,,,L,
15:23:22.223,1,frequently asked questions,tap,433.09,25.16,,,,,Y,
15:23:25.925,1,frequently asked questions,swipe,34.66,111.29,189.41,116.89,274.50,119.97,A,F
15:23:26.892,1,frequently asked questions,swipe,624.95,108.49,232.12,44.77,388.04,70.06,K,T
15:23:27.409,1,frequently asked questions,tap,214.62,101.49,,,,,D,
15:23:30.836,1,frequently asked questions,swipe,29.76,30.07,538.12,39.17,269.72,34.36,Q,R
15:23:31.728,1,frequently asked questions,swipe,204.11,24.46,115.19,123.19,43.49,202.79,E,
15:23:32.628,1,frequently asked questions,swipe,349.06,34.27,591.33,39.17,589.01,39.12,T,I
15:23:33.079,1,frequently asked questions,tap,694.97,30.77,,,,,O,
15:23:33.345,1,frequently asked questions,tap,527.61,173.61,,,,,N,
15:23:33.754,1,frequently asked questions,tap,127.09,115.49,,,,,S,
