Time,Trial Num,Target,TapOnly,Word_top1,Word_top2,Word_top3,Sequence
15:22:55.431,0,want to join us for lunch,false,,,,W120degrees
15:22:56.276,0,want to join us for lunch,false,want,wang,cant,W120degreesN226degrees
15:22:57.634,0,want to join us for lunch,true,t,,,T
15:22:57.902,0,want to join us for lunch,true,to,,,TO
15:22:59.542,0,want to join us for lunch,false,jo,jp,ko,J331degrees
15:23:00.284,0,want to join us for lunch,false,joan,join,jill,J331degreesI127degrees
15:23:02.759,0,want to join us for lunch,false,ur,ir,ut,U166degrees
15:23:05.147,0,want to join us for lunch,true,u,,,U
15:23:05.531,0,want to join us for lunch,true,us,,,US
15:23:07.601,0,want to join us for lunch,false,fu,fp,gi,F349degrees
15:23:07.952,0,want to join us for lunch,false,for,fur,fig,F349degreesR
15:23:09.732,0,want to join us for lunch,false,li,lu,lt,L209degrees
15:23:10.094,0,want to join us for lunch,false,kim,lin,,L209degreesN
15:23:11.010,0,want to join us for lunch,false,lunch,lisco,licol,L209degreesNC338degrees
15:23:14.431,1,frequently asked questions,false,fe,ft,gt,F234degrees
15:23:15.925,1,frequently asked questions,false,,,,F234degreesE
15:23:17.344,1,frequently asked questions,false,fewer,greek,fleet,F234degreesEQ1degrees
15:23:19.041,1,frequently asked questions,false,greene,george,pierre,F234degreesEQ1degreesE
15:23:19.538,1,frequently asked questions,false,freedom,,,F234degreesEQ1degreesEN
15:23:19.839,1,frequently asked questions,false,frequent,formerly,freeware,F234degreesEQ1degreesENT
15:23:21.066,1,frequently asked questions,false,,,,F234degreesEQ1degreesENTL
15:23:22.289,1,frequently asked questions,false,frequently,,,F234degreesEQ1degreesENTLY
15:23:26.026,1,frequently asked questions,false,,,,A2degrees
15:23:26.952,1,frequently asked questions,false,sake,salt,sale,A2degreesK189degrees
15:23:27.474,1,frequently asked questions,false,asked,aimed,added,A2degreesK189degreesD
15:23:30.912,1,frequently asked questions,false,qt,wr,wt,Q1degrees
15:23:31.817,1,frequently asked questions,false,weed,,,Q1degreesE132degrees
15:23:32.681,1,frequently asked questions,false,,,,Q1degreesE132degreesT1degrees
15:23:33.136,1,frequently asked questions,false,podcast,desktop,textile,Q1degreesE132degreesT1degreesO
15:23:33.410,1,frequently asked questions,false,question,equation,electron,Q1degreesE132degreesT1degreesON
15:23:33.824,1,frequently asked questions,false,describes,described,bathrooms,Q1degreesE132degreesT1degreesONS
15:23:37.798,1,frequently asked questions,false,qt,wr,wt,Q359degrees
15:23:38.492,1,frequently asked questions,false,,,,Q359degreesE
15:23:38.859,1,frequently asked questions,false,ward,weed,wars,Q359degreesES
