Timestamp,Left_Pinky,Left_Ring,Left_Middle,Left_Index,Left_Thumb,Right_Thumb,Right_Index,Right_Middle,Right_Ring,Right_Pinky
17:24:30.766,-,-,-,-,-,-,-,-,-,-
17:24:30.876,-,-,-,-,-,-,-,-,-,-
17:24:30.992,-,-,-,-,-,-,-,-,-,-
17:24:31.096,-,-,-,-,-,-,-,-,-,-
17:24:31.203,-,-,-,-,-,-,-,-,-,-
17:24:31.310,-,-,-,-,-,-,-,-,-,-
17:24:31.415,-,-,-,-,-,-,-,-,-,-
17:24:31.519,-,-,-,-,-,-,-,-,-,-
17:24:31.627,-,-,-,-,-,-,-,-,-,-
17:24:31.733,-,-,-,-,-,-,-,-,-,-
17:24:31.840,-,-,-,-,-,-,-,-,-,-
17:24:31.945,-,-,-,-,-,-,-,-,-,-
17:24:32.052,-,-,-,-,-,-,-,-,-,-
17:24:32.158,-,-,-,-,-,-,-,-,-,-
17:24:32.264,-,-,-,-,-,-,-,-,-,-
17:24:32.371,-,-,-,-,-,-,-,-,-,-
17:24:32.476,-,-,-,-,-,-,-,-,-,-
17:24:32.582,-,-,-,-,-,-,-,-,-,-
17:24:32.688,-,-,-,-,-,-,-,-,-,-
17:24:32.794,-,-,-,-,-,-,-,-,-,-
17:24:32.901,-,-,-,-,-,-,-,-,-,-
17:24:33.007,-,-,-,-,-,-,-,-,-,-
17:24:33.113,-,-,-,-,-,-,-,-,-,-
17:24:33.239,-,-,-,-,-,-,"[127,391]",-,"[285,479]","[338,463]"
17:24:33.353,-,-,-,-,-,"[133,467]","[115,357]","[221,458]","[270,447]","[318,431]"
17:24:33.454,-,-,-,-,-,"[118,446]","[102,334]","[205,442]","[253,431]","[297,414]"
17:24:33.561,-,-,-,-,-,"[127,418]","[113,330]","[209,433]","[260,422]","[305,410]"
17:24:33.668,-,-,-,-,-,"[197,378]","[183,305]","[275,418]","[328,410]","[372,400]"
17:24:33.773,-,-,-,-,-,"[263,344]","[249,278]","[332,392]","[379,397]","[432,393]"
17:24:33.880,-,-,-,-,-,"[282,325]","[269,265]","[349,380]","[398,386]","[448,379]"
17:24:33.989,-,-,-,-,-,"[276,342]","[259,284]","[345,377]","[387,378]","[441,359]"
17:24:34.094,-,-,-,-,-,"[336,401]","[301,324]","[403,417]","[446,409]","[518,372]"
17:24:34.200,-,-,-,-,-,"[411,414]","[372,349]","[501,461]","[542,446]","[590,439]"
17:24:34.307,-,-,-,-,-,"[406,390]","[425,439]","[515,477]",-,"[617,454]"
17:24:34.413,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:34.528,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:34.638,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:34.748,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:34.864,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:34.969,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.076,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.182,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.290,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.394,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.499,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.607,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.713,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.819,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:35.925,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.031,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.137,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.244,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.350,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.456,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.562,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.667,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.774,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.880,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:36.986,"[389,374]","[527,475]","[557,471]","[587,467]",-,-,"[600,478]",-,"[555,477]","[391,378]"
17:24:37.112,"[389,374]","[527,475]","[557,471]","[587,467]",-,"[491,375]","[462,344]","[519,358]","[578,346]",-
17:24:37.217,"[389,374]","[527,475]","[557,471]","[587,467]",-,"[437,332]","[425,291]","[502,343]","[558,340]",-
17:24:37.324,"[450,337]","[469,339]","[490,324]","[509,310]",-,"[392,336]","[380,276]","[459,336]","[512,336]","[574,332]"
17:24:37.428,"[450,337]","[469,339]","[490,324]","[509,310]",-,"[314,380]","[293,310]","[389,378]","[444,365]","[520,351]"
17:24:37.534,"[339,355]","[342,360]","[366,363]","[393,357]","[482,354]","[283,352]","[258,288]","[360,367]","[418,362]","[487,348]"
17:24:37.640,"[339,355]","[342,360]","[366,363]","[393,357]","[482,354]","[264,340]","[243,279]","[342,339]","[398,339]","[474,335]"
17:24:37.745,"[339,355]","[342,360]","[366,363]","[393,357]","[482,354]","[310,345]","[302,288]","[382,334]","[438,343]","[532,336]"
17:24:37.852,"[354,375]","[379,371]","[391,346]","[370,306]","[545,343]","[313,377]","[299,302]","[389,367]","[445,361]","[541,347]"
17:24:37.958,"[354,375]","[379,371]","[391,346]","[370,306]","[545,343]","[393,425]","[313,364]","[440,433]","[496,428]","[556,406]"
17:24:38.083,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[410,437]","[311,388]","[439,439]","[489,429]","[547,417]"
17:24:38.190,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[410,437]","[311,388]","[439,439]","[489,429]","[547,417]"
17:24:38.295,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[410,437]","[311,388]","[439,439]","[489,429]","[547,417]"
17:24:38.401,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[410,437]","[311,388]","[439,439]","[489,429]","[547,417]"
17:24:38.506,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[410,437]","[311,388]","[439,439]","[489,429]","[547,417]"
17:24:38.613,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[410,437]","[311,388]","[439,439]","[489,429]","[547,417]"
17:24:38.741,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[575,361]","[574,287]",-,-,-
17:24:38.847,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[587,331]","[579,275]",-,-,-
17:24:38.953,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]","[557,404]","[542,334]",-,-,-
17:24:39.087,"[318,406]","[436,441]","[470,461]","[501,448]","[539,422]",-,"[368,359]","[521,459]","[580,454]","[619,439]"
17:24:39.212,"[481,435]","[443,447]","[394,466]","[234,387]",-,"[336,471]","[249,386]","[392,455]","[444,436]","[495,430]"
17:24:39.319,"[377,397]","[347,439]","[297,454]","[175,407]",-,"[336,471]","[249,386]","[392,455]","[444,436]","[495,430]"
17:24:39.426,"[350,376]","[307,418]","[250,417]","[118,350]","[181,479]","[187,449]","[115,339]","[252,414]","[302,411]","[345,379]"
17:24:39.531,"[330,368]","[274,367]","[220,371]","[108,333]",-,"[207,409]","[104,330]","[226,370]","[281,375]","[337,376]"
17:24:39.636,"[330,368]","[274,367]","[220,371]","[108,333]",-,"[206,379]","[191,315]","[299,385]","[352,389]","[411,376]"
17:24:39.743,"[330,368]","[274,367]","[220,371]","[108,333]",-,"[258,371]","[255,292]","[336,356]","[391,367]","[475,357]"
17:24:39.851,"[330,368]","[274,367]","[220,371]","[108,333]",-,"[269,371]","[258,292]","[342,362]","[393,355]","[495,344]"
17:24:39.960,"[330,368]","[274,367]","[220,371]","[108,333]",-,"[339,389]","[316,312]","[412,393]","[465,393]","[555,380]"
17:24:40.065,"[330,368]","[274,367]","[220,371]","[108,333]",-,"[398,412]","[367,346]","[473,419]","[520,418]","[600,422]"
17:24:40.172,"[330,368]","[274,367]","[220,371]","[108,333]",-,"[440,452]","[341,398]","[457,445]","[510,446]","[585,440]"
17:24:40.279,"[546,437]","[499,469]",-,"[422,447]",-,"[426,479]","[418,431]","[442,446]","[484,443]","[553,431]"
17:24:40.382,"[546,437]","[499,469]",-,"[422,447]",-,"[426,479]","[418,431]","[442,446]","[484,443]","[553,431]"
17:24:40.488,"[546,437]","[499,469]",-,"[422,447]",-,"[426,479]","[418,431]","[442,446]","[484,443]","[553,431]"
17:24:40.594,"[546,437]","[499,469]",-,"[422,447]",-,"[426,479]","[418,431]","[442,446]","[484,443]","[553,431]"
17:24:40.718,"[546,437]","[499,469]",-,"[422,447]",-,"[483,339]","[420,275]","[523,339]","[581,343]",-
17:24:40.824,"[553,324]","[552,351]","[544,356]","[486,303]","[630,377]","[508,377]","[478,304]","[592,397]",-,-
17:24:40.932,"[553,324]","[552,351]","[544,356]","[486,303]","[630,377]","[509,396]","[484,341]","[589,403]",-,-
17:24:41.037,"[500,409]","[505,370]","[572,382]","[617,378]",-,"[529,396]","[466,344]","[572,397]",-,-
17:24:41.144,"[548,428]","[462,322]","[551,364]","[615,363]",-,"[555,359]","[536,372]","[529,366]","[528,360]",-
17:24:41.250,"[547,350]","[518,355]","[500,351]","[442,288]","[621,366]","[430,348]","[413,278]","[492,345]","[560,345]",-
17:24:41.355,"[426,355]","[452,335]","[480,330]","[506,325]","[632,346]","[387,354]","[376,285]","[459,349]","[519,345]","[607,348]"
17:24:41.463,"[426,355]","[452,335]","[480,330]","[506,325]","[632,346]","[321,389]","[276,309]","[389,380]","[445,370]","[520,362]"
17:24:41.569,"[426,355]","[452,335]","[480,330]","[506,325]","[632,346]","[267,357]","[247,282]","[362,360]","[423,351]","[500,340]"
17:24:41.676,"[426,355]","[452,335]","[480,330]","[506,325]","[632,346]","[287,364]","[258,280]","[356,346]","[417,343]","[492,345]"
17:24:41.783,"[426,355]","[452,335]","[480,330]","[506,325]","[632,346]","[316,350]","[311,283]","[393,336]","[455,342]","[540,343]"
17:24:41.888,"[318,363]","[323,309]","[398,341]","[451,350]","[562,345]","[311,387]","[296,319]","[395,402]","[460,388]","[549,368]"
17:24:41.995,"[318,363]","[323,309]","[398,341]","[451,350]","[562,345]","[374,421]","[313,364]","[437,435]","[500,431]","[562,420]"
