Time,Trial Num,Target,Action,Current Sentence,Updated Sentence
13:21:56.165,0,sent this by registered mail,Start,,
13:21:59.978,0,sent this by registered mail,Insert_top1,,sent 
13:22:01.997,0,sent this by registered mail,Insert_top1,sent ,sent this 
13:22:03.602,0,sent this by registered mail,Insert_top1,sent this ,sent this by 
13:22:07.896,0,sent this by registered mail,Insert_top1,sent this by ,sent this by registered 
13:22:10.343,0,sent this by registered mail,Insert_top1,sent this by registered ,sent this by registered mail 
13:22:10.344,0,sent this by registered mail,End,sent this by registered mail,sent this by registered mail
13:22:10.845,1,is she done yet,Start,,
13:22:14.593,1,is she done yet,DeletePartial,id,
13:22:15.636,1,is she done yet,Insert_top1,,is 
13:22:18.441,1,is she done yet,DeletePartial,is sie,is 
13:22:20.902,1,is she done yet,DeletePartial,is sie,is 
13:22:22.020,1,is she done yet,Insert_top1,is ,is she 
13:22:25.032,1,is she done yet,DeletePartial,is she doug,is she 
13:22:28.678,1,is she done yet,DeletePartial,is she zone,is she 
13:22:31.063,1,is she done yet,DeletePartial,is she dne,is she 
13:22:31.313,1,is she done yet,DeleteFull,is she ,is she
13:22:33.966,1,is she done yet,DeletePartial,is shedone,is she
13:22:35.634,1,is she done yet,DeletePartial,is sheb,is she
13:22:36.235,1,is she done yet,Insert,is she,is she 
13:22:37.953,1,is she done yet,Insert_top1,is she ,is she done 
13:22:40.913,1,is she done yet,Insert_top1,is she done ,is she done yet 
13:22:40.914,1,is she done yet,End,is she done yet,is she done yet
13:22:41.415,2,the living is easy,Start,,
13:22:43.749,2,the living is easy,Insert_top1,,the 
13:22:46.092,2,the living is easy,DeletePartial,the luck,the 
13:22:50.003,2,the living is easy,Insert_top1,the ,the living 
13:22:51.412,2,the living is easy,Insert_top1,the living ,the living is 
13:22:55.415,2,the living is easy,DeletePartial,the living is ea,the living is 
13:22:59.284,2,the living is easy,DeletePartial,the living is ,the living is 
13:23:02.119,2,the living is easy,Insert_top1,the living is ,the living is easy 
13:23:02.120,2,the living is easy,End,the living is easy,the living is easy
13:23:02.621,3,the capital of our nation,Start,,
13:23:04.487,3,the capital of our nation,Insert_top1,,the 
13:23:07.206,3,the capital of our nation,Insert_top1,the ,the capital 
13:23:09.624,3,the capital of our nation,DeletePartial,the capital oh,the capital 
13:23:12.634,3,the capital of our nation,DeletePartial,the capital luxury,the capital 
13:23:14.543,3,the capital of our nation,Insert_top1,the capital ,the capital of 
