Time,Type,X,Y,Keys,Finger
14:18:20.924,tap,[264],[195],[c],Left Index
14:18:21.057,tap,[711],[40],[o],Right Middle
14:18:21.249,tap,[581],[185],[m],Right Middle
14:18:22.783,swipe,"[777, 687]","[35, 60]","[p, j]",Right Middle
14:18:24.001,swipe,"[505, 541]","[219, 143]","[n, i]",Right Middle
14:18:24.601,swipe,"[192, 145]","[56, 136.5]","[e, c]",Left Middle
14:18:27.853,tap,[280],[183],[c],Left Middle
14:18:27.995,tap,[682],[44],[o],Right Middle
14:18:28.153,tap,[579],[186],[m],Right Middle
14:18:28.712,tap,[761],[34],[p],Right Middle
14:18:29.179,tap,[56],[127],[a],Left Ring
14:18:29.587,swipe,"[499, 517]","[206, 175]","[n, i]",Right Middle
14:18:30.112,swipe,"[202, 163]","[38, 91]","[e, a]",Left Middle
14:18:31.447,tap,[67],[118],[a],Left Middle
14:18:31.730,tap,[511],[204],[n],Right Middle
14:18:31.872,tap,[519],[194],[n],Right Middle
14:18:32.472,swipe,"[715, 605]","[27, 31]","[o, y]",Right Middle
14:18:34.056,swipe,"[511, 479]","[207, 187]","[n, r]",Right Middle
14:18:35.540,swipe,"[276, 255]","[201, 97]","[c, e]",Left Index
14:18:37.367,tap,[68],[132],[a],Left Ring
14:18:37.534,tap,[509],[195],[n],Right Middle
14:18:37.667,tap,[512],[191],[n],Right Middle
14:18:38.000,tap,[712],[34],[o],Right Middle
14:18:38.275,tap,[514],[49],[u],Right Middle
14:18:39.451,swipe,"[516, 446]","[198, 202]","[n, c]",Right Middle
14:18:40.268,swipe,"[259, 226]","[207, 129]","[c, e]",Left Index
14:18:44.871,tap,[61],[134],[a],Left Ring
14:18:45.221,tap,[517],[197],[n],Right Middle
14:18:45.363,tap,[519],[192],[n],Right Middle
14:18:45.680,tap,[710],[28],[o],Right Middle
14:18:45.838,tap,[531],[36],[u],Right Index
14:18:46.071,tap,[490.5],[179],[n],Right Index
14:18:46.571,swipe,"[251, 220]","[198, 124]","[c, e]",Left Index
14:18:47.723,tap,[65],[133],[a],Left Ring
14:18:49.607,swipe,"[579, 522]","[200, 172]","[m, g]",Right Middle
14:18:50.257,tap,[257],[45],[r],Left Index
14:18:50.991,tap,[356],[104],[g],Left Index
14:18:51.616,swipe,"[175, 276]","[43, 46]","[e, y]",Left Middle
14:18:56.319,tap,[122],[34],[w],Left Middle
