Time,Trial Num,Target,Type,StartX,StartY,EndX,EndY,ProjectedX,ProjectedY,StartKey,ProjectedKey
14:33:07.457,0,want to join us for lunch,swipe,115.19,35.67,59.87,107.09,0.00,184.39,W,
14:33:07.749,0,want to join us for lunch,swipe,556.32,203.72,532.52,194.62,332.15,118.01,M,F
14:33:07.899,0,want to join us for lunch,swipe,517.11,193.22,428.18,109.89,341.98,29.12,N,T
14:33:09.667,0,want to join us for lunch,swipe,106.08,39.17,50.07,95.19,0.00,145.25,W,
14:33:09.984,0,want to join us for lunch,swipe,515.01,199.52,463.89,165.91,314.48,67.66,N,R
14:33:11.885,0,want to join us for lunch,tap,355.36,36.37,,,,,T,
14:33:12.085,0,want to join us for lunch,tap,678.16,22.36,,,,,O,
14:33:13.343,0,want to join us for lunch,swipe,546.52,114.09,662.76,39.17,723.52,0.00,J,P
14:33:13.694,0,want to join us for lunch,swipe,608.84,23.06,500.31,156.81,457.61,209.42,I,B
14:33:16.337,0,want to join us for lunch,swipe,533.22,121.09,623.54,81.88,753.37,25.52,J,P
14:33:16.854,0,want to join us for lunch,swipe,614.44,28.67,536.02,143.50,479.09,226.86,I,N
14:33:18.597,0,want to join us for lunch,tap,525.51,27.26,,,,,U,
14:33:18.814,0,want to join us for lunch,tap,125.69,103.59,,,,,S,
14:33:19.831,0,want to join us for lunch,swipe,287.44,114.79,331.55,103.59,520.06,55.72,F,U
14:33:20.239,0,want to join us for lunch,tap,268.53,37.07,,,,,R,
14:33:22.415,0,want to join us for lunch,swipe,697.07,104.29,524.11,45.47,469.85,27.02,L,Y
14:33:23.065,0,want to join us for lunch,swipe,516.41,196.72,347.66,207.92,276.94,212.62,N,C
14:33:23.491,0,want to join us for lunch,tap,440.09,118.29,,,,,H,
14:33:26.509,1,just what the doctor ordered,swipe,535.32,114.09,514.31,84.68,453.82,0.00,J,Y
14:33:26.843,1,just what the doctor ordered,swipe,117.99,121.79,258.73,52.47,333.29,15.75,S,T
14:33:29.294,1,just what the doctor ordered,swipe,93.48,34.97,220.22,82.58,318.15,119.37,W,F
14:33:29.752,1,just what the doctor ordered,swipe,43.06,116.19,166.30,69.98,267.78,31.92,A,R
14:33:31.754,1,just what the doctor ordered,swipe,354.66,44.07,387.57,62.98,562.77,163.62,T,M
14:33:32.188,1,just what the doctor ordered,tap,189.41,20.96,,,,,E,
14:33:34.305,1,just what the doctor ordered,tap,363.06,43.37,,,,,T,
14:33:34.464,1,just what the doctor ordered,tap,444.99,115.49,,,,,H,
14:33:34.572,1,just what the doctor ordered,tap,208.32,37.77,,,,,E,
14:33:35.798,1,just what the doctor ordered,swipe,225.82,118.99,299.34,95.89,454.78,47.04,D,Y
14:33:36.648,1,just what the doctor ordered,swipe,230.02,209.32,298.64,129.50,386.47,27.33,C,T
14:33:37.274,1,just what the doctor ordered,swipe,701.97,31.47,571.03,27.26,462.09,23.77,O,Y
14:33:38.950,1,just what the doctor ordered,swipe,675.36,39.17,585.73,52.47,437.96,74.41,O,Y
14:33:39.400,1,just what the doctor ordered,swipe,195.71,120.39,197.81,28.67,198.47,0.00,D,E
14:33:40.667,1,just what the doctor ordered,swipe,275.54,37.77,227.92,40.57,35.95,51.86,R,Q
14:33:41.476,1,just what the doctor ordered,tap,212.52,116.89,,,,,D,
14:33:45.095,2,he called seven times,tap,461.09,93.09,,,,,H,
14:33:45.236,2,he called seven times,tap,189.41,28.67,,,,,E,
14:33:46.153,2,he called seven times,swipe,253.83,186.91,115.19,140.70,26.15,111.02,C,A
14:33:46.946,2,he called seven times,tap,700.57,118.99,,,,,L,
14:33:47.613,2,he called seven times,swipe,693.57,123.89,561.93,103.59,456.37,87.31,L,H
14:33:48.096,2,he called seven times,tap,208.32,122.49,,,,,D,
14:33:50.823,2,he called seven times,swipe,117.99,113.39,196.41,48.27,254.54,0.00,S,R
14:33:51.240,2,he called seven times,swipe,323.15,190.42,231.42,130.90,121.82,59.78,V,W
14:33:51.682,2,he called seven times,tap,520.61,189.02,,,,,N,
14:33:53.382,2,he called seven times,swipe,337.16,53.17,413.48,58.07,576.66,68.55,T,I
14:33:53.817,2,he called seven times,swipe,578.73,189.72,487.00,165.21,346.86,127.77,M,G
14:33:54.166,2,he called seven times,tap,130.59,111.99,,,,,S,
14:33:56.768,3,this person is a disaster,swipe,352.56,39.17,407.88,80.48,544.85,182.78,T,M
14:33:57.185,3,this person is a disaster,swipe,565.43,29.37,462.49,52.47,331.25,81.93,I,F
