Time,Trial Num,Target,Action,Current Sentence,Updated Sentence
14:33:05.253,0,want to join us for lunch,Start,,
14:33:09.083,0,want to join us for lunch,DeletePartial,wagner,
14:33:11.168,0,want to join us for lunch,Insert_top1,,want 
14:33:12.452,0,want to join us for lunch,Insert_top1,want ,want to 
14:33:15.678,0,want to join us for lunch,DeletePartial,want to joan,want to 
14:33:18.005,0,want to join us for lunch,Insert_top1,want to ,want to join 
14:33:19.114,0,want to join us for lunch,Insert_top1,want to join ,want to join us 
14:33:21.485,0,want to join us for lunch,Insert_top3,want to join us ,want to join us for 
14:33:24.642,0,want to join us for lunch,End,want to join us for lunch,want to join us for lunch
14:33:25.143,1,just what the doctor ordered,Start,,
14:33:28.497,1,just what the doctor ordered,Insert_top3,,just 
14:33:31.037,1,just what the doctor ordered,Insert_top1,just ,just what 
14:33:33.488,1,just what the doctor ordered,DeletePartial,just what tm,just what 
14:33:35.122,1,just what the doctor ordered,Insert_top1,just what ,just what the 
14:33:38.241,1,just what the doctor ordered,Insert_top1,just what the ,just what the doctor 
14:33:42.730,1,just what the doctor ordered,Insert_top3,just what the doctor ,just what the doctor ordered 
14:33:43.403,1,just what the doctor ordered,End,just what the doctor ordered,just what the doctor ordered
14:33:43.903,2,he called seven times,Start,,
14:33:45.746,2,he called seven times,Insert_top1,,he 
14:33:50.114,2,he called seven times,Insert_top1,he ,he called 
14:33:52.657,2,he called seven times,Insert_top1,he called ,he called seven 
14:33:55.301,2,he called seven times,End,he called seven times,he called seven times
14:33:55.802,3,this person is a disaster,Start,,
14:33:58.465,3,this person is a disaster,Insert_top3,,this 
14:34:02.771,3,this person is a disaster,DeletePartial,this orgasm,this 
14:34:06.090,3,this person is a disaster,DeletePartial,this oregon,this 
14:34:09.542,3,this person is a disaster,Insert_top1,this ,this person 
14:34:10.684,3,this person is a disaster,Insert_top1,this person ,this person is 
14:34:11.051,3,this person is a disaster,Insert_top1,this person is ,this person is a 
14:34:17.155,3,this person is a disaster,End,this person is a disaster,this person is a disaster
14:34:17.655,4,love means many things,Start,,
14:34:20.752,4,love means many things,Insert_top3,,love 
14:34:23.695,4,love means many things,Insert_top3,love ,love means 
14:34:26.510,4,love means many things,Insert_top1,love means ,love means many 
14:34:29.503,4,love means many things,End,love means many things,love means many things
14:34:30.004,5,sent this by registered mail,Start,,
14:34:33.105,5,sent this by registered mail,Insert_top1,,sent 
14:34:35.298,5,sent this by registered mail,Insert_top1,sent ,sent this 
14:34:36.857,5,sent this by registered mail,Insert_top1,sent this ,sent this by 
14:34:45.178,5,sent this by registered mail,Insert_top1,sent this by ,sent this by registered 
14:34:47.847,5,sent this by registered mail,End,sent this by registered mail,sent this by registered mail
14:34:48.348,6,question that must be answered,Start,,
14:34:52.099,6,question that must be answered,Insert_top1,,question 
14:34:53.841,6,question that must be answered,Insert_top1,question ,question that 
14:34:56.385,6,question that must be answered,DeletePartial,question that myth,question that 
14:34:59.336,6,question that must be answered,Insert_top1,question that ,question that must 
14:35:00.053,6,question that must be answered,Insert_top1,question that must ,question that must be 
14:35:04.598,6,question that must be answered,End,question that must be answered,question that must be answered
14:35:05.099,7,protect your environment,Start,,
14:35:10.660,7,protect your environment,Insert_top1,,protect 
14:35:13.081,7,protect your environment,Insert_top3,protect ,protect your 
14:35:15.579,7,protect your environment,DeletePartial,protect your ebay,protect your 
14:35:23.058,7,protect your environment,End,protect your environment,protect your environment
14:35:23.560,8,with each step forward,Start,,
14:35:26.385,8,with each step forward,Insert_top1,,with 
14:35:28.444,8,with each step forward,Insert_top1,with ,with each 
14:35:30.571,8,with each step forward,DeletePartial,with each acer,with each 
14:35:32.857,8,with each step forward,DeletePartial,with each deer,with each 
14:35:35.157,8,with each step forward,DeletePartial,with each acer,with each 
14:35:37.233,8,with each step forward,DeletePartial,with each diet,with each 
14:35:39.884,8,with each step forward,DeletePartial,with each acer,with each 
