pid,target,word,count,insert_start_time,insert_end_time,category,swipe_ratio,tap_ratio,swipe_dist,swipe_key_set
2,sad,sad,3,1900-01-01 14:29:53.838,1900-01-01 14:29:55.935,top1,0.0,1.0,[],[]
2,to,to,2,1900-01-01 14:29:55.935,1900-01-01 14:29:56.642,top1,0.0,1.0,[],[]
2,hear,hear,4,1900-01-01 14:29:56.642,1900-01-01 14:29:57.535,top1,0.0,1.0,[],[]
2,that,that,4,1900-01-01 14:29:59.177,1900-01-01 14:30:01.354,top1,0.0,1.0,[],[]
2,news,news,4,1900-01-01 14:30:01.354,1900-01-01 14:30:02.754,top1,0.0,1.0,[],[]
2,love,love,4,1900-01-01 14:30:07.241,1900-01-01 14:30:11.518,top1,0.3333333333333333,0.6666666666666666,"[[1.0443933945118573, 1.0307764064044151]]","[['l', 'o']]"
2,means,means,5,1900-01-01 14:30:11.518,1900-01-01 14:30:13.469,top1,0.0,1.0,[],[]
2,many,many,4,1900-01-01 14:30:15.795,1900-01-01 14:30:17.121,top1,0.0,1.0,[],[]
2,things,things,6,1900-01-01 14:30:17.121,1900-01-01 14:30:23.608,top1,1.0,0.0,"[[1.539850911005673, 1.6007810593582121], [2.2723398767845007, 2.3584952830141512], [3.130148019662968, 3.0]]","[['t', 'h'], ['i', 'n'], ['g', 's']]"
2,the,the,3,1900-01-01 14:30:24.110,1900-01-01 14:30:26.185,top1,0.0,1.0,[],[]
2,stock,stock,5,1900-01-01 14:30:28.961,1900-01-01 14:30:31.413,top1,0.0,1.0,[],[]
2,exchange,exchage,8,1900-01-01 14:30:49.197,1900-01-01 14:30:52.299,incorrect,0.0,1.0,[],[]
2,dipped,dipped,6,1900-01-01 14:30:52.299,1900-01-01 14:30:57.427,top1,0.0,1.0,[],[]
2,are,are,3,1900-01-01 14:30:57.929,1900-01-01 14:31:00.412,top1,0.0,1.0,[],[]
2,you,you,3,1900-01-01 14:31:03.247,1900-01-01 14:31:05.157,top1,0.0,1.0,[],[]
2,talking,talking,7,1900-01-01 14:31:09.609,1900-01-01 14:31:12.385,top1,0.0,1.0,[],[]
2,to,to,2,1900-01-01 14:31:12.385,1900-01-01 14:31:13.002,top1,0.0,1.0,[],[]
2,me,me,2,1900-01-01 14:31:13.002,1900-01-01 14:31:14.236,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:31:39.834,1900-01-01 14:31:41.010,top1,0.0,1.0,[],[]
2,second,second,6,1900-01-01 14:31:41.010,1900-01-01 14:31:44.362,top1,0.0,1.0,[],[]
2,largest,largest,7,1900-01-01 14:31:44.362,1900-01-01 14:31:46.696,top1,0.0,1.0,[],[]
2,country,country,7,1900-01-01 14:31:46.696,1900-01-01 14:31:50.748,top1,0.0,1.0,[],[]
2,frequently,frequently,10,1900-01-01 14:31:51.250,1900-01-01 14:31:55.793,top1,0.0,1.0,[],[]
2,asked,asked,5,1900-01-01 14:31:58.403,1900-01-01 14:32:00.079,top1,0.0,1.0,[],[]
2,questions,questions,9,1900-01-01 14:32:03.681,1900-01-01 14:32:07.675,top1,0.0,1.0,[],[]
2,with,with,4,1900-01-01 14:32:08.176,1900-01-01 14:32:10.268,top1,0.0,1.0,[],[]
2,each,each,4,1900-01-01 14:32:10.268,1900-01-01 14:32:11.844,top1,0.0,1.0,[],[]
2,step,hotel,4,1900-01-01 14:32:11.844,1900-01-01 14:32:13.011,incorrect,0.25,0.75,"[[0.21361472327533945, 0]]","[['p', '']]"
2,forward,forward,7,1900-01-01 14:32:14.512,1900-01-01 14:32:19.181,top1,0.0,1.0,[],[]
2,companies,companies,9,1900-01-01 14:32:19.683,1900-01-01 14:32:24.242,top1,0.0,1.0,[],[]
2,announce,announce,8,1900-01-01 14:32:24.242,1900-01-01 14:32:26.786,top1,0.0,1.0,[],[]
2,a,a,1,1900-01-01 14:32:26.786,1900-01-01 14:32:27.277,top1,0.0,1.0,[],[]
2,merger,merger,6,1900-01-01 14:32:27.277,1900-01-01 14:32:30.738,top1,0.0,1.0,[],[]
2,protect,protect,7,1900-01-01 14:32:31.239,1900-01-01 14:32:34.748,top1,0.0,1.0,[],[]
2,your,your,4,1900-01-01 14:32:34.748,1900-01-01 14:32:38.679,top3,1.0,0.0,"[[3.013365977710805, 3.0], [3.029183906702431, 3.0]]","[['y', 'o'], ['u', 'r']]"
2,environment,environment,11,1900-01-01 14:32:38.679,1900-01-01 14:32:46.226,top3,0.2222222222222222,0.7777777777777778,"[[5.422587206825262, 5.153882032022076], [2.896656073172996, 2.6575364531836625]]","[['m', 'e'], ['n', 't']]"
2,want,want,4,1900-01-01 14:32:48.232,1900-01-01 14:32:52.242,top1,1.0,0.0,"[[1.3371011846995724, 1.25], [2.779267130243151, 2.6575364531836625]]","[['w', 'a'], ['n', 't']]"
2,to,to,2,1900-01-01 14:32:52.242,1900-01-01 14:32:53.409,top1,0.0,1.0,[],[]
2,join,join,4,1900-01-01 14:32:53.409,1900-01-01 14:32:54.860,top1,0.0,1.0,[],[]
2,us,us,2,1900-01-01 14:32:54.860,1900-01-01 14:32:56.327,top1,0.0,1.0,[],[]
2,for,for,3,1900-01-01 14:32:56.327,1900-01-01 14:32:57.361,top1,0.0,1.0,[],[]
2,lunch,lunch,5,1900-01-01 14:32:57.361,1900-01-01 14:32:59.395,top1,0.0,1.0,[],[]
2,do,do,2,1900-01-01 14:32:59.897,1900-01-01 14:33:01.613,top1,0.0,1.0,[],[]
2,not,not,3,1900-01-01 14:33:01.613,1900-01-01 14:33:02.114,top1,0.0,1.0,[],[]
2,drink,drink,5,1900-01-01 14:33:02.114,1900-01-01 14:33:03.665,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:33:06.626,1900-01-01 14:33:07.934,top1,0.0,1.0,[],[]
