length,fold,char_num,accuracy_top1,accuracy_top3
2,0,1,0.7076923076923077,0.9923076923076923
2,0,2,0.4318181818181818,0.701010101010101
2,0,3,0.5758928571428571,0.7494047619047619
2,0,4,0.7152,0.8664888888888889
2,0,5,0.7968162083936324,0.8929088277858177
2,0,6,0.8401590457256461,0.8960901259111995
2,0,7,0.8718963165075034,0.9190995907230559
2,0,8,0.8888507718696398,0.9238421955403088
2,0,9,0.9203520352035204,0.9377337733773378
2,0,10,0.9278688524590164,0.9468852459016394
2,0,11,0.9276595744680851,0.9372340425531915
2,0,12,0.9253588516746412,0.9339712918660287
2,0,13,0.9663366336633663,0.9683168316831683
2,0,14,0.9743589743589743,0.9794871794871794
2,0,15,0.98,0.98
2,0,16,1.0,1.0
2,0,18,0.2,0.2
2,1,1,0.7307692307692307,0.9769230769230769
2,1,2,0.4404040404040404,0.7085858585858585
2,1,3,0.580952380952381,0.7440476190476191
2,1,4,0.7116444444444444,0.8600888888888889
2,1,5,0.788712011577424,0.884370477568741
2,1,6,0.8430748840291584,0.8982107355864811
2,1,7,0.8699863574351978,0.9173260572987721
2,1,8,0.8873070325900515,0.9238421955403088
2,1,9,0.9133113311331134,0.933993399339934
2,1,10,0.9236065573770492,0.9439344262295082
2,1,11,0.9281914893617021,0.9382978723404255
2,1,12,0.9234449760765551,0.9301435406698565
2,1,13,0.9524752475247524,0.9603960396039604
2,1,14,0.9897435897435898,0.9948717948717949
2,1,15,0.96,0.96
2,1,16,0.8,0.8
2,1,18,0.2,0.2
2,2,1,0.7692307692307693,0.9846153846153847
2,2,2,0.4444444444444444,0.7070707070707071
2,2,3,0.5785714285714286,0.7598214285714285
2,2,4,0.7123555555555555,0.8632888888888889
2,2,5,0.7892908827785817,0.8901591895803184
2,2,6,0.8461232604373757,0.9033797216699802
2,2,7,0.8758526603001364,0.9184174624829468
2,2,8,0.8895368782161235,0.923327615780446
2,2,9,0.9141914191419142,0.9361936193619362
2,2,10,0.9298360655737705,0.9491803278688524
2,2,11,0.9313829787234043,0.9388297872340425
2,2,12,0.9244019138755981,0.9320574162679426
2,2,13,0.9722772277227723,0.9762376237623762
2,2,14,0.9846153846153847,0.9846153846153847
2,2,15,0.94,0.94
2,2,16,0.8666666666666667,0.8666666666666667
2,2,18,0.6,0.6
2,3,1,0.7384615384615385,0.9923076923076923
2,3,2,0.4353535353535353,0.7131313131313132
2,3,3,0.5779761904761904,0.7616071428571428
2,3,4,0.7022222222222222,0.8643555555555555
2,3,5,0.7923299565846599,0.8888567293777134
2,3,6,0.8447978793903247,0.898078197481776
2,3,7,0.8693042291950887,0.9125511596180081
2,3,8,0.8927958833619211,0.9234991423670669
2,3,9,0.9126512651265126,0.9348734873487349
2,3,10,0.9239344262295082,0.9481967213114754
2,3,11,0.9313829787234043,0.9393617021276596
